player_name,shot_type,fga,fgm,pps,fg_pct,rate
Paul George,3pt_all,6118,2345,1.1498855835240274,0.38329519450800914,0.42065456545654567
Vince Carter,3pt_all,6166,2289,1.1136879662666235,0.3712293220888745,0.28898158129071566
Jason Terry,3pt_all,6005,2281,1.1395503746877602,0.37985012489592007,0.3854300385109114
Jamal Crawford,3pt_all,6367,2218,1.0450761740223025,0.34835872467410084,0.38693406259495594
Kyle Lowry,3pt_all,5994,2205,1.1036036036036037,0.36786786786786785,0.48350407356618536
Kevin Durant,3pt_all,5620,2191,1.1695729537366548,0.3898576512455516,0.2676317919900948
Paul Pierce,3pt_all,5813,2142,1.1054532943402717,0.36848443144675724,0.2986846161751105
Buddy Hield,3pt_all,5356,2126,1.1908140403286034,0.39693801344286783,0.5961046188091264
Eric Gordon,3pt_all,5599,2083,1.1160921593141633,0.37203071977138774,0.4994202122914994
CJ McCollum,3pt_all,5011,1989,1.1907802833765715,0.39692676112552383,0.3864723122011414
Dirk Nowitzki,3pt_all,5210,1982,1.1412667946257198,0.38042226487523995,0.21951630572174938
Joe Johnson,3pt_all,5331,1978,1.1131119864940913,0.3710373288313637,0.3008465011286682
JJ Redick,3pt_all,4688,1940,1.2414675767918089,0.4138225255972696,0.5232142857142857
Mike Conley,3pt_all,4964,1930,1.1663980660757454,0.3887993553585818,0.37597515716125124
JR Smith,3pt_all,5176,1929,1.1180448222565689,0.37268160741885625,0.49469559399789736
Kyrie Irving,3pt_all,4760,1875,1.1817226890756303,0.3939075630252101,0.3326345213137666
Chris Paul,3pt_all,5028,1860,1.1097852028639619,0.36992840095465396,0.28978156878566075
Tim Hardaway Jr.,3pt_all,5109,1844,1.082795067527892,0.36093168917596397,0.551847051198963
Wesley Matthews,3pt_all,4912,1843,1.1256107491856677,0.3752035830618892,0.5385374410700581
Chauncey Billups,3pt_all,4724,1830,1.1621507197290433,0.38738357324301437,0.413950227830354
Kobe Bryant,3pt_all,5544,1825,0.9875541125541125,0.3291847041847042,0.21161920757309718
Rashard Lewis,3pt_all,4624,1786,1.1587370242214532,0.38624567474048443,0.37057220708446864
Jason Kidd,3pt_all,5048,1785,1.0608161648177497,0.3536053882725832,0.3765197285000373
Peja Stojakovic,3pt_all,4391,1760,1.2024595764062855,0.4008198588020952,0.40972287020621445
Nicolas Batum,3pt_all,4741,1749,1.1067285382830627,0.3689095127610209,0.5185954933274994
Carmelo Anthony,3pt_all,4873,1731,1.0656679663451671,0.3552226554483891,0.21520999867508722
Bradley Beal,3pt_all,4566,1716,1.1274638633377136,0.37582128777923784,0.3342361466949711
Steve Nash,3pt_all,3939,1685,1.2833206397562833,0.42777354658542777,0.30553831833695316
Kevin Love,3pt_all,4541,1673,1.105263157894737,0.3684210526315789,0.39204005870672537
Kemba Walker,3pt_all,4642,1670,1.079276174062904,0.35975872468763465,0.38832190061903965
Donovan Mitchell,3pt_all,4419,1618,1.098438560760353,0.3661461869201177,0.4203767123287671
Jason Richardson,3pt_all,4342,1608,1.1110087517273146,0.3703362505757715,0.3424290220820189
Trevor Ariza,3pt_all,4577,1604,1.0513436748962202,0.3504478916320734,0.46694552132217915
Mike Miller,3pt_all,3910,1590,1.2199488491048593,0.40664961636828645,0.4470104035669372
Danny Green,3pt_all,3944,1576,1.1987829614604462,0.3995943204868154,0.6524400330851944
D'Angelo Russell,3pt_all,4317,1575,1.0945100764419735,0.3648366921473245,0.47195801902263035
Jrue Holiday,3pt_all,4257,1573,1.1085271317829457,0.3695090439276486,0.3056872037914692
Patty Mills,3pt_all,4012,1546,1.1560319042871385,0.38534396809571286,0.5950756452091368
Jayson Tatum,3pt_all,4181,1546,1.1093039942597465,0.3697679980865822,0.40090133282193885
Zach LaVine,3pt_all,3922,1533,1.1726160122386537,0.39087200407955125,0.37963411092827415
Kentavious Caldwell-Pope,3pt_all,4179,1532,1.0997846374730798,0.36659487915769323,0.4930391694195375
Mike Bibby,3pt_all,3998,1517,1.13831915957979,0.37943971985992997,0.32213359116912416
Bojan Bogdanovic,3pt_all,3829,1510,1.1830765212849308,0.39435884042831026,0.4546426027071954
Manu Ginobili,3pt_all,4052,1494,1.1061204343534057,0.36870681145113526,0.3949702700068233
Danilo Gallinari,3pt_all,3824,1456,1.1422594142259415,0.3807531380753138,0.46267392619479736
Lou Williams,3pt_all,4142,1455,1.0538387252535006,0.35127957508450025,0.34399136284361764
Malik Beasley,3pt_all,3715,1453,1.173351278600269,0.3911170928667564,0.65152578042792
Harrison Barnes,3pt_all,3741,1438,1.153167602245389,0.384389200748463,0.35342465753424657
Devin Booker,3pt_all,4024,1424,1.0616302186878728,0.3538767395626243,0.3247780468119451
Khris Middleton,3pt_all,3644,1409,1.1599890230515917,0.3866630076838639,0.3577108078924119
Jordan Clarkson,3pt_all,4164,1399,1.0079250720461095,0.3359750240153698,0.40470405287199923
Michael Finley,3pt_all,3693,1393,1.131600324939074,0.37720010831302464,0.2615809604759881
Antoine Walker,3pt_all,4264,1386,0.975140712945591,0.325046904315197,0.2898511318061315
Fred VanVleet,3pt_all,3731,1386,1.1144465290806753,0.3714821763602251,0.5419026870007262
Eddie Jones,3pt_all,3674,1372,1.120304844855743,0.3734349482852477,0.3727300395657908
Russell Westbrook,3pt_all,4475,1366,0.915754189944134,0.3052513966480447,0.20825577066269546
Evan Fournier,3pt_all,3627,1358,1.1232423490488006,0.3744141163496002,0.4638700601099885
Reggie Miller,3pt_all,3454,1357,1.1786334684423856,0.39287782281412853,0.42768697374938086
Terry Rozier,3pt_all,3753,1355,1.0831334932054357,0.36104449773514524,0.4665589259075087
Baron Davis,3pt_all,4159,1332,0.9608078865111805,0.32026929550372685,0.34800435110032635
Terrence Ross,3pt_all,3667,1329,1.0872647941096263,0.3624215980365421,0.5219185881013378
Ryan Anderson,3pt_all,3491,1325,1.1386422228587798,0.3795474076195932,0.5343639981631716
Tobias Harris,3pt_all,3572,1309,1.099384098544233,0.36646136618141095,0.28594300352225427
Mike Dunleavy,3pt_all,3458,1303,1.1304222093695777,0.3768074031231926,0.3874943971313312
Marcus Morris Sr.,3pt_all,3446,1300,1.1317469529889728,0.3772489843296576,0.4105802454426308
Trae Young,3pt_all,3628,1277,1.0559536934950386,0.3519845644983462,0.40604364857302744
Brent Barry,3pt_all,3146,1272,1.2129688493324857,0.4043229497774952,0.5515427769985974
Robert Covington,3pt_all,3490,1262,1.084813753581662,0.3616045845272206,0.6384924990852543
D.J. Augustin,3pt_all,3307,1260,1.143029936498337,0.38100997883277893,0.45513349848609963
Stephen Jackson,3pt_all,3763,1252,0.998139782088759,0.332713260696253,0.3386429085673146
Shane Battier,3pt_all,3254,1250,1.1524277811923787,0.38414259373079285,0.4771960698049567
Derek Fisher,3pt_all,3341,1248,1.1206225680933852,0.3735408560311284,0.35813056061742954
Hedo Turkoglu,3pt_all,3246,1246,1.1515711645101663,0.3838570548367221,0.35930927606818686
CJ Miles,3pt_all,3482,1246,1.0735209649626651,0.3578403216542217,0.4966481243759806
Jason Williams,3pt_all,3784,1238,0.9815010570824524,0.32716701902748413,0.49149240161059876
Jae Crowder,3pt_all,3544,1232,1.0428893905191874,0.3476297968397291,0.5723514211886305
Joe Ingles,3pt_all,3001,1227,1.226591136287904,0.408863712095968,0.6648205582631812
Marco Belinelli,3pt_all,3229,1216,1.1297615360792814,0.3765871786930938,0.464070135096292
Wayne Ellington,3pt_all,3174,1214,1.1474480151228734,0.38248267170762446,0.5834558823529412
Duncan Robinson,3pt_all,3026,1202,1.1916721744877727,0.3972240581625909,0.8067182084777392
Jeff Green,3pt_all,3555,1201,1.0135021097046413,0.33783403656821376,0.30765902206836865
Luka Doncic,3pt_all,3457,1201,1.0422331501301707,0.34741105004339023,0.4167068466730955
Kawhi Leonard,3pt_all,3024,1187,1.1775793650793651,0.392526455026455,0.28174788036895554
Rudy Gay,3pt_all,3429,1186,1.0376202974628173,0.3458734324876057,0.23214406607541804
Deron Williams,3pt_all,3296,1178,1.0722087378640777,0.3574029126213592,0.30062021160160524
Kirk Hinrich,3pt_all,3120,1172,1.126923076923077,0.37564102564102564,0.36619718309859156
Ben Gordon,3pt_all,2920,1171,1.2030821917808219,0.401027397260274,0.32119678803211965
Reggie Jackson,3pt_all,3394,1171,1.035061873895109,0.345020624631703,0.35346802749427203
Quentin Richardson,3pt_all,3288,1167,1.0647810218978102,0.35492700729927007,0.4466784404292895
Antawn Jamison,3pt_all,3363,1163,1.0374665477252454,0.3458221825750818,0.19756785336623192
Jameer Nelson,3pt_all,3132,1152,1.103448275862069,0.367816091954023,0.3604142692750288
Metta World Peace,3pt_all,3396,1150,1.0159010600706713,0.3386336866902238,0.3015985790408526
Goran Dragic,3pt_all,3180,1150,1.0849056603773586,0.36163522012578614,0.31711208615875547
Ray Allen,corner,2058,892,1.3002915451895043,0.4334305150631681,0.1085786641342197
Joe Johnson,corner,2033,823,1.2144613871126415,0.4048204623708805,0.11472911963882619
Kyle Korver,corner,1651,781,1.4191399152029074,0.4730466384009691,0.17798620094868478
Jason Terry,corner,1802,740,1.2319644839067703,0.41065482796892344,0.11566110397946085
Shane Battier,corner,1735,727,1.2570605187319885,0.41902017291066285,0.254436134330547
P.J. Tucker,corner,1840,710,1.1576086956521738,0.3858695652173913,0.3667530396651385
Trevor Ariza,corner,1733,687,1.189267166762839,0.39642238892094633,0.1768006529279739
Klay Thompson,corner,1523,664,1.3079448456992777,0.4359816152330926,0.11151790290693417
Bruce Bowen,corner,1584,655,1.240530303030303,0.413510101010101,0.33277310924369746
Danny Green,corner,1529,652,1.2792674950948333,0.4264224983649444,0.25293631100082714
Rashard Lewis,corner,1566,645,1.235632183908046,0.4118773946360153,0.1255008815515307
Jamal Crawford,corner,1671,639,1.14721723518851,0.38240574506283664,0.10154968094804011
Wesley Matthews,corner,1509,617,1.2266401590457257,0.4088800530152419,0.165442385703322
Stephen Curry,corner,1238,601,1.4563812600969306,0.48546042003231016,0.06745491200348717
Harrison Barnes,corner,1396,594,1.2765042979942693,0.42550143266475643,0.13188474256022673
Nicolas Batum,corner,1468,593,1.2118528610354224,0.4039509536784741,0.16057755414570116
Bojan Bogdanovic,corner,1333,581,1.307576894223556,0.4358589647411853,0.15827594395630493
Morris Peterson,corner,1284,536,1.2523364485981308,0.4174454828660436,0.19552306989492918
Peja Stojakovic,corner,1266,532,1.2606635071090047,0.42022116903633494,0.11813007371465896
Paul George,corner,1215,528,1.3037037037037038,0.4345679012345679,0.08353960396039604
Kentavious Caldwell-Pope,corner,1298,526,1.2157164869029276,0.4052388289676425,0.1531382727701746
Mikal Bridges,corner,1230,504,1.2292682926829268,0.4097560975609756,0.19468186134852802
Jeff Green,corner,1298,495,1.1440677966101696,0.3813559322033898,0.11233232366940718
Richard Jefferson,corner,1185,494,1.250632911392405,0.41687763713080167,0.10676637534913055
Michael Finley,corner,1202,492,1.2279534109816972,0.40931780366056575,0.08513953817821221
Jason Richardson,corner,1224,485,1.1887254901960784,0.39624183006535946,0.09652996845425868
Eddie Jones,corner,1134,462,1.2222222222222223,0.4074074074074074,0.11504514558182002
Buddy Hield,corner,992,452,1.3669354838709677,0.45564516129032256,0.1104062326099054
Malik Beasley,corner,999,441,1.3243243243243243,0.44144144144144143,0.17520168361978253
Vince Carter,corner,1106,439,1.1907775768535263,0.3969258589511754,0.05183484088672259
Patty Mills,corner,995,435,1.3115577889447236,0.4371859296482412,0.14758231978641353
Justin Holiday,corner,1066,435,1.224202626641651,0.4080675422138837,0.22305921740949988
Mike Conley,corner,968,432,1.3388429752066116,0.4462809917355372,0.07331667045368477
Tim Hardaway Jr.,corner,1138,432,1.1388400702987698,0.37961335676625657,0.12292071721754158
Derek Fisher,corner,1051,428,1.2216936251189343,0.4072312083729781,0.11265944902990674
Tobias Harris,corner,1085,426,1.1778801843317972,0.39262672811059907,0.08685558757604867
JJ Redick,corner,901,425,1.4150943396226414,0.4716981132075472,0.10055803571428572
Arron Afflalo,corner,983,421,1.2848423194303153,0.42828077314343843,0.14835496528825837
James Posey,corner,1145,418,1.0951965065502183,0.3650655021834061,0.18801313628899835
JR Smith,corner,1000,417,1.251,0.417,0.09557488292076842
Shawn Marion,corner,1161,410,1.0594315245478036,0.35314384151593453,0.07711723679840585
Mickael Pietrus,corner,1075,408,1.1386046511627907,0.37953488372093025,0.281413612565445
Dorian Finney-Smith,corner,1055,406,1.1545023696682464,0.3848341232227488,0.2567534679970796
Reggie Miller,corner,957,402,1.2601880877742946,0.4200626959247649,0.11849925705794948
Taurean Prince,corner,966,401,1.2453416149068324,0.41511387163561075,0.20230366492146598
George Hill,corner,969,396,1.2260061919504643,0.4086687306501548,0.13112313937753722
Donyell Marshall,corner,1040,394,1.1365384615384615,0.37884615384615383,0.12652068126520682
Matt Barnes,corner,1130,392,1.0407079646017698,0.34690265486725663,0.17700501253132833
Andre Iguodala,corner,1107,391,1.0596205962059622,0.35320686540198737,0.10183992640294388
Raja Bell,corner,934,390,1.2526766595289078,0.41755888650963596,0.15700117666834762
Courtney Lee,corner,931,390,1.2567132116004296,0.4189044038668099,0.14176945332724228
Terry Rozier,corner,1060,389,1.100943396226415,0.36698113207547167,0.13177523620089507
Avery Bradley,corner,1029,388,1.131195335276968,0.3770651117589893,0.15328467153284672
Marvin Williams,corner,996,386,1.1626506024096386,0.38755020080321284,0.11228861330326945
Bradley Beal,corner,949,386,1.220231822971549,0.4067439409905163,0.06946782812385623
Steve Blake,corner,868,385,1.3306451612903225,0.4435483870967742,0.16874027993779162
Joe Ingles,corner,857,383,1.3407234539089847,0.4469078179696616,0.18985378821444396
Norman Powell,corner,847,382,1.3530106257378984,0.4510035419126328,0.13997686332837547
Anthony Parker,corner,828,381,1.3804347826086956,0.4601449275362319,0.22115384615384615
Voshon Lenard,corner,919,379,1.2372143634385202,0.41240478781284007,0.15979829594853068
Lou Williams,corner,961,379,1.1831425598335068,0.39438085327783556,0.07981064695623287
Jerami Grant,corner,1000,373,1.119,0.373,0.13966480446927373
Tayshaun Prince,corner,896,370,1.2388392857142858,0.41294642857142855,0.08887125570323348
Keith Bogans,corner,994,369,1.113682092555332,0.37122736418511065,0.2644320297951583
Jae Crowder,corner,946,369,1.1701902748414377,0.39006342494714585,0.1527777777777778
OG Anunoby,corner,907,364,1.2039691289966923,0.4013230429988975,0.21929400386847195
Kevin Love,corner,921,362,1.1791530944625408,0.3930510314875136,0.07951307951307951
Patrick Beverley,corner,893,360,1.2094064949608063,0.40313549832026874,0.19130248500428448
Leandro Barbosa,corner,854,359,1.2611241217798594,0.4203747072599532,0.11528077753779697
Mike Dunleavy,corner,881,358,1.2190692395005676,0.40635641316685583,0.09872254594352309
Rasual Butler,corner,935,358,1.148663101604278,0.38288770053475935,0.16449683321604505
Gary Harris,corner,849,357,1.2614840989399294,0.4204946996466431,0.15967650930976116
Jerry Stackhouse,corner,1014,356,1.0532544378698225,0.3510848126232742,0.08387790553395649
Marcus Morris Sr.,corner,943,356,1.1325556733828208,0.37751855779427357,0.112355534373883
Martell Webster,corner,861,353,1.2299651567944252,0.4099883855981417,0.2120689655172414
Michael Redd,corner,871,351,1.208955223880597,0.40298507462686567,0.0926201616333475
LeBron James,corner,919,350,1.1425462459194777,0.3808487486398259,0.030051339066740786
Reggie Bullock,corner,822,349,1.2737226277372262,0.4245742092457421,0.24818840579710144
Nick Young,corner,843,346,1.2313167259786477,0.41043890865954924,0.12203242617255355
Ben Gordon,corner,798,345,1.2969924812030076,0.4323308270676692,0.08777912220877791
James Jones,corner,763,340,1.3368283093053734,0.4456094364351245,0.254163890739507
Mike Bibby,corner,830,335,1.2108433734939759,0.4036144578313253,0.06687615824671662
Kyle Lowry,corner,847,333,1.179456906729634,0.39315230224321135,0.06832298136645963
Wayne Ellington,corner,796,333,1.2550251256281406,0.4183417085427136,0.1463235294117647
Ben McLemore,corner,767,333,1.302477183833116,0.43415906127770537,0.17966736940735537
Metta World Peace,corner,1000,330,0.99,0.33,0.08880994671403197
Manu Ginobili,corner,858,330,1.1538461538461537,0.38461538461538464,0.08363388244468271
Evan Fournier,corner,781,329,1.263764404609475,0.4212548015364917,0.09988489576672209
CJ McCollum,corner,766,329,1.2885117493472584,0.42950391644908614,0.05907758753663427
Jason Kidd,corner,934,327,1.0503211991434689,0.3501070663811563,0.06966510032072798
Damon Jones,corner,806,327,1.21712158808933,0.4057071960297767,0.2160857908847185
Stephen Jackson,corner,890,326,1.098876404494382,0.36629213483146067,0.080093592512599
Khris Middleton,corner,757,324,1.2840158520475562,0.42800528401585203,0.07431039560223815
Paul Pierce,corner,822,322,1.1751824817518248,0.39172749391727496,0.0422361525023122
Kawhi Leonard,corner,727,322,1.3287482806052269,0.44291609353507566,0.06773502282679586
Luol Deng,corner,851,319,1.1245593419506463,0.37485311398354876,0.07561083962683252
CJ Miles,corner,764,319,1.2526178010471205,0.4175392670157068,0.1089716160319498
Jared Dudley,corner,763,318,1.2503276539973787,0.4167758846657929,0.14687199230028875
Marco Belinelli,corner,761,316,1.2457293035479633,0.4152431011826544,0.10937050876688703
Georges Niang,corner,773,312,1.2108667529107373,0.4036222509702458,0.2362469437652812
Stephen Curry,3pt_above,8348,3455,1.2416147580258745,0.41387158600862484,0.454857516482319
James Harden,3pt_above,8063,2919,1.086072181570135,0.3620240605233784,0.4333082545141874
Damian Lillard,3pt_above,7090,2629,1.1124118476727785,0.3708039492242595,0.42795919599203236
LeBron James,3pt_above,6402,2210,1.035613870665417,0.34520462355513903,0.2093456721493738
Ray Allen,3pt_above,5371,2082,1.162911934462856,0.3876373114876187,0.2833702648517463
Klay Thompson,3pt_above,5040,2033,1.2101190476190475,0.4033730158730159,0.3690415171706817
Kevin Durant,3pt_above,5116,1964,1.1516810007818608,0.38389366692728694,0.24363064907852755
Kyle Lowry,3pt_above,5148,1873,1.0914918414918415,0.3638306138306138,0.4152617568766637
Vince Carter,3pt_above,5061,1850,1.096621221102549,0.36554040703418295,0.23719360734873693
Paul Pierce,3pt_above,4992,1820,1.09375,0.3645833333333333,0.25649984585345803
Paul George,3pt_above,4903,1817,1.1117683051193148,0.37058943503977154,0.3371149614961496
Eric Gordon,3pt_above,4891,1809,1.1095890410958904,0.3698630136986301,0.4362679511194363
