player_name,shot_type,fga,fgm,pps,fg_pct,rate
Gary Trent Jr.,corner,107,51,1.4299065420560748,0.4766355140186916,0.1628614916286149
Ryan Dunn,corner,154,51,0.9935064935064936,0.33116883116883117,0.3228511530398323
Keegan Murray,corner,135,51,1.1333333333333333,0.37777777777777777,0.16463414634146342
Haywood Highsmith,corner,112,50,1.3392857142857142,0.44642857142857145,0.2864450127877238
Isaiah Joe,corner,89,50,1.6853932584269662,0.5617977528089888,0.15136054421768708
Matas Buzelis,corner,135,49,1.0888888888888888,0.362962962962963,0.24324324324324326
Quentin Grimes,corner,101,49,1.4554455445544554,0.48514851485148514,0.1227217496962333
Rui Hachimura,corner,110,49,1.3363636363636364,0.44545454545454544,0.1909722222222222
Grayson Allen,corner,99,49,1.4848484848484849,0.494949494949495,0.20245398773006135
Payton Pritchard,corner,104,48,1.3846153846153846,0.46153846153846156,0.12009237875288684
Tobias Harris,corner,122,47,1.1557377049180328,0.38524590163934425,0.1515527950310559
Nicolas Batum,corner,102,47,1.3823529411764706,0.46078431372549017,0.42857142857142855
Luguentz Dort,corner,112,47,1.2589285714285714,0.41964285714285715,0.18887015177065766
Devin Vassell,corner,106,46,1.3018867924528301,0.4339622641509434,0.11923509561304838
Max Christie,corner,117,45,1.1538461538461537,0.38461538461538464,0.19830508474576272
Russell Westbrook,corner,106,45,1.2735849056603774,0.42452830188679247,0.12755716004813478
Dillon Brooks,corner,118,45,1.1440677966101696,0.3813559322033898,0.1318435754189944
Zach LaVine,corner,94,44,1.4042553191489362,0.46808510638297873,0.07686017988552739
Gabe Vincent,corner,112,44,1.1785714285714286,0.39285714285714285,0.26666666666666666
Mike Conley,corner,88,44,1.5,0.5,0.18803418803418803
Kevin Durant,corner,88,44,1.5,0.5,0.07829181494661921
Jamison Battle,corner,108,44,1.2222222222222223,0.4074074074074074,0.3112391930835735
